county,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Ar, La Paz County",4,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Ar, Maricopa County",4,13,2,3,1,10,7,6,0,8,3,0,7,3,16,10,2,5,14,1
"Ar, Mohave County",4,15,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,1
"Ar, Navajo County",4,17,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0
"Ar, Pima County",4,19,0,1,1,2,3,2,0,0,4,0,4,3,7,1,7,3,3,1
"Ar, Pinal County",4,21,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0
"Ar, Santa Cruz County",4,23,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
"Ar, Yavapai County",4,25,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,2,1,1
"Ar, Yuma County",4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"Ar, Arkansas County",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Ashley County",5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Baxter County",5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Benton County",5,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Ar, Boone County",5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Bradley County",5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Calhoun County",5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Carroll County",5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Chicot County",5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Clark County",5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Clay County",5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Cleburne County",5,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Cleveland County",5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Columbia County",5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Conway County",5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Craighead County",5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Crawford County",5,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Crittenden County",5,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Cross County",5,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Dallas County",5,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Ar, Desha County",5,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Drew County",5,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Faulkner County",5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Franklin County",5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Fulton County",5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Garland County",5,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Ar, Grant County",5,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Greene County",5,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Hempstead County",5,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Hot Spring County",5,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Howard County",5,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Independence County",5,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Ar, Izard County",5,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Jackson County",5,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Jefferson County",5,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Johnson County",5,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Lafayette County",5,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Lawrence County",5,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Lee County",5,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Lincoln County",5,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Little River County",5,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Logan County",5,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Lonoke County",5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Ar, Madison County",5,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Marion County",5,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Miller County",5,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Mississippi County",5,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Monroe County",5,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Montgomery County",5,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Nevada County",5,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Newton County",5,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Ouachita County",5,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Perry County",5,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Phillips County",5,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Pike County",5,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Poinsett County",5,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Polk County",5,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Pope County",5,115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Ar, Prairie County",5,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Ar, Pulaski County",5,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Ar, Randolph County",5,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, St. Francis County",5,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Saline County",5,125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Scott County",5,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Searcy County",5,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Sebastian County",5,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Sevier County",5,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Sharp County",5,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Stone County",5,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Union County",5,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Van Buren County",5,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Washington County",5,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"Ar, White County",5,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Woodruff County",5,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar, Yell County",5,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ca, Alameda County",6,1,3,7,2,0,5,3,3,6,3,3,2,4,0,1,8,12,13,2
"Ca, Alpine County",6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ca, Amador County",6,5,1,0,0,0,0,1,2,0,0,1,0,0,1,0,2,0,0,0
"Ca, Butte County",6,7,1,3,2,2,0,1,0,2,3,2,0,1,0,2,0,3,0,0
"Ca, Calaveras County",6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"Ca, Colusa County",6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ca, Contra Costa County",6,13,5,3,4,0,4,1,0,1,3,1,3,1,4,3,5,8,10,9
"Ca, Del Norte County",6,15,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Ca, El Dorado County",6,17,0,0,0,3,3,3,2,0,3,2,0,2,2,1,2,3,1,0
"Ca, Fresno County",6,19,0,1,0,0,0,1,0,2,1,3,0,4,0,0,1,1,0,1
"Ca, Glenn County",6,21,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0
"Ca, Humboldt County",6,23,4,5,5,7,11,4,6,6,4,14,8,2,4,5,8,6,2,1
"Ca, Imperial County",6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Ca, Inyo County",6,27,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Ca, Kern County",6,29,0,2,1,0,2,1,2,5,2,2,0,0,0,0,1,1,1,0
"Ca, Kings County",6,31,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0
"Ca, Lake County",6,33,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1
"Ca, Lassen County",6,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
