county,state,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Alexander County,NC,13.1,10.72,14.53,15.82,11.12,14.74,7.13,15.25,13.06,13.79,12.98,13.8,19.2,13.97,11.98,9.87,11.84,16.4,8.16,20.41,11.51
Alexandria City,VA,12.85,7.77,19.16,15.98,8.85,11.49,6.92,11.4,9.98,14.66,21.54,9.56,8.69,10.16,8.48,10.45,15.47,24.96,9.3,20.38,17.3
Alfalfa County,OK,3.51,9.9,6.53,8.11,9.24,4.63,6.25,13.93,8.19,9.71,4.14,3.81,12.95,7.97,10.29,12.42,8.39,10.78,8.15,12.11,5.65
Alger County,MI,10.72,12.97,11.35,8.97,9.46,8.79,8.56,6.05,8.27,16.87,8.3,10.11,11.35,10.37,7.72,14.14,9.71,13.31,10.35,13.75,8.33
Allamakee County,IA,12.94,11.56,6.18,10.41,13.76,10.42,24.1,9.63,10.8,17.72,8.84,8.22,6.51,8.96,7.94,29.13,8.39,22.56,18.41,10.75,13.78
Allegan County,MI,11.5,7.77,8.25,8.26,8.94,12.64,9.57,16.44,8.61,10.09,13.47,8.44,7.62,10.41,8.91,13.29,6.9,11.4,12.09,8.41,7.88
Allegany County,MD,9.45,9.88,17.01,17.29,7.63,7.88,10.65,11.05,8.05,7.92,13.4,10.69,10.57,7.79,10.16,10.37,10.21,24.24,8.26,11.91,13.77
Allegany County,NY,8.07,8.8,19.16,16.28,11.96,16.89,10.84,12.78,12.37,12.42,10.89,11.1,10.77,10.95,12.14,9.73,9.97,17.05,10.67,9.45,18.52
Alleghany County,NC,12.31,15.44,19.76,23.85,13.14,14.65,7.56,17.46,14.99,16.01,15.4,15.45,25.1,12.88,19.06,14.4,12.45,24.63,9.9,20.96,16.11
Alleghany County,VA,12.51,11.11,16.67,16.81,11.33,9.68,7.59,9.81,12.72,10.38,10.49,13.92,12.33,9.12,14.78,12.46,8.16,19.11,7.91,13.36,14.74
Allegheny County,PA,9.27,9.95,14.58,19.52,8.98,11.06,13.32,7.78,9.12,8.88,13.14,14.6,13.21,10.63,10.77,11.2,11.23,19.29,13.33,9.35,16.33
Allen County,IN,13.04,8.22,20.3,12.16,11.44,10.91,14.19,8.3,9.2,7.29,10.71,11.16,8.82,11.54,12.72,10.27,10.06,12.39,11.55,8.57,13.01
Allen County,KS,13.87,6.78,9.72,8.94,15.18,7.95,7.49,14.09,17.02,20.66,5.9,8.57,14.31,9.16,12.53,23.92,14.23,16.7,21.44,8.28,13.49
Allen County,KY,11.55,14.25,18.57,12.89,16,15.57,7.43,8.64,14.62,11.04,8.53,14.38,16.95,10.7,15.41,17.23,16.51,15.59,9.78,16.18,15.25
Allen County,OH,10.7,7.46,17.86,11.76,14.79,9.34,15.04,5.76,5.17,6.66,13.15,12.32,13.04,10.92,12.2,9.61,11.22,11.8,10.74,9.13,14.5
Allen Parish,LA,17.78,16.64,14.77,6.75,17.88,13.53,17.7,16.39,11.07,12.17,11.86,20.28,12.06,16.63,7.35,18.55,18.95,15.47,24.4,13.13,19.7
Allendale County,SC,12.54,11.9,17.57,16.69,15.7,9.73,10.57,14.91,10.99,18.5,11.84,17.27,24.36,12.97,13.84,15.72,15.48,15.97,7.91,18.66,18.37
Alpena County,MI,10.91,7.83,9.81,6.83,11.43,10.48,8.12,10.37,12.92,11.66,10.04,7.7,7.03,14.42,6.25,8.58,8.84,9.54,8.13,13.54,11.61
Alpine County,CA,1.12,0.69,2.26,0.57,1.33,0.77,1.29,0.32,0.98,0.51,2.03,1.24,1.68,4.09,2.43,0.45,3.77,0.91,1.45,1.39,1.47
Amador County,CA,0.44,0.09,0.52,0.45,0.71,0.07,0.47,0.01,0.18,0.06,0.47,0.37,1.22,1.13,0.27,0.07,0.55,0.07,1.16,0.12,0.34
Amelia County,VA,10.41,9.21,22.65,23.12,9.35,16.57,9.15,15.41,11.66,11.42,17.72,13.14,11.27,9.42,12.01,11.7,10.14,16.11,7.69,20.95,14.97
Amherst County,VA,9.85,10.21,20.89,16.78,9.72,12.79,5.88,11.41,11.5,14.44,14.6,12.27,13.82,10.48,16.34,11.38,8.21,21.8,9.79,18.76,14.92
Amite County,MS,17.82,21.98,12.3,9.67,15.39,14.74,15.05,23.64,14.25,11.51,13.56,25.57,14.18,13.66,10.84,28.56,20.21,15.36,15.6,16.4,23.88
Anderson County,KS,13.35,6.52,11.22,10.61,15.5,8.24,9.64,13.97,15.91,18.05,6.81,9.03,11.95,9.46,11.38,18.47,11.27,19.34,18.21,10.06,12.9
Anderson County,KY,12.5,9.62,18.18,13.01,9.06,19.26,8.76,4.84,15.92,8.13,12.57,12.55,12.5,11.77,18.4,16.48,14.18,20.52,8.3,10.81,19.38
Anderson County,SC,11.98,12.01,14.56,20.18,12.48,10.12,6.26,9.16,10.05,10.17,9.19,14.66,25.02,10.72,12.08,7.77,10.37,11.92,5.41,14.05,13.5
Anderson County,TN,14.88,15.71,16.01,15.57,11.45,16.21,7.93,10.01,16.86,15.59,15.51,17.33,16.29,14.72,15.37,10.36,15.9,16,9.23,12.14,17.36
Anderson County,TX,12.07,6.99,8.81,7.4,9,4.59,14.31,10.62,13.58,7.22,2.22,14.41,10.14,7.14,2.32,9.72,8.22,10.43,3.79,15.79,9.76
Andrew County,MO,15.63,5.57,6.89,11.73,10.33,13.77,11.19,12.33,12.44,14.51,12.04,6.01,7.28,13.8,15.97,21.79,7.88,12.97,16.41,17.15,7.76
Andrews County,TX,3.16,3.6,2.78,10.13,4.83,7.93,7.57,7.43,6.98,7.72,1.77,7.38,3.96,8.57,4.35,7.61,7.72,7.5,4.4,1.1,3.88
Androscoggin County,ME,7.47,7.64,11.44,13.13,8.42,12.22,8.38,21.51,14.47,10.87,14.32,11.2,16.04,14.01,10.66,7.06,8.26,11.83,8.73,7.94,15.71
Angelina County,TX,11.13,11.32,14.42,9.56,13.31,8.33,11.71,12.16,11.62,8.91,4.6,16.01,10.6,13.31,3.83,10.81,22.3,16.11,10.88,13.3,9.44
