county,state,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Shelby County,OH,14.01,7.16,22.19,8.39,13.25,12.09,11.24,7.11,9.89,7.52,12.06,13.36,12.71,8.56,11.33,9.5,11.96,14.4,7.11,10.5,12.22
Shelby County,TN,10.13,21.12,11.82,7.91,15.5,8.51,8.06,8.88,20.57,8.94,9.89,11.83,10.68,10.11,11.18,12.37,15.26,13.72,10.99,10.27,13.18
Shelby County,TX,10.95,10.77,16.08,8.36,14.24,7.32,13.6,11.08,13.46,8.4,4.61,20.59,9.45,10.23,3.87,11.61,19.08,14.02,6.82,18.41,10.23
Shenandoah County,VA,10.91,10.07,18.93,15.01,9.85,10.75,8.98,11.34,9.04,9.21,11.83,13.99,9.49,8.38,11.3,15.07,8.67,20.61,10.62,15.72,13.28
Sherburne County,MN,7.85,18.47,7.42,12.31,13.57,9.94,11.81,9.48,8.88,16.03,11.8,5.95,4.93,9.59,13.27,18.02,11.22,12.28,14.84,10.66,7.57
Sheridan County,KS,10.37,4.45,2.73,10.18,7.48,5.73,6.47,8.83,9.54,5.07,9.47,5.59,9.78,7.48,7.23,9.74,8.15,9.36,11.01,5.29,4.92
Sheridan County,MT,4.11,5.68,3.03,3.83,2.92,3.65,3.2,5.16,6.25,6.76,5.28,2.31,6.74,5.96,4.45,5.78,2.83,5.05,10.7,4.09,2.86
Sheridan County,ND,6.48,6.55,6.17,6.25,4.28,5,4.41,8.21,4.76,8.81,9.07,4.17,5,6.29,6.18,9.83,6.38,5.16,14.45,5.88,5.54
Sheridan County,NE,6.51,5.62,3.4,6.53,4.11,5.77,4.68,8.47,7.66,6.3,6.31,1.75,7.36,9.1,5.81,6.38,6.92,7.07,9.31,3.3,6.17
Sheridan County,WY,2.89,4.84,2.36,5.14,3.15,3.97,3.07,3.7,3.86,3.17,2.15,1.57,5.04,4.27,2.65,5.97,4.09,3.76,5.75,2.41,2.32
Sherman County,KS,8.12,4.25,2.7,8.64,5.73,6.79,6.56,9.66,9.23,7.13,7.4,3.28,8.28,7.36,4.96,8.2,9.19,5.24,9.88,7.38,3.94
Sherman County,NE,7.33,6.96,4.52,11.39,5.8,12.63,8.57,7.74,9.45,9.39,6.41,1.39,9.35,11.19,6.68,9.07,12.21,9.3,15.46,5.92,8.19
Sherman County,OR,0.92,0.26,1.3,2.04,0.52,0.3,0.99,0.61,0.31,2.3,0.77,0.29,2.04,1.33,0.27,0.76,1.13,0.04,1.82,0.31,1.01
Sherman County,TX,4.39,6.83,4.45,9.52,4.81,9.39,4.52,8.8,6.01,6.83,3.88,5.42,9.16,8.03,10.98,7.33,8.64,5.37,5,8.25,5.74
Shiawassee County,MI,9.17,5.86,7.35,8.97,9.92,10.52,9.54,14.45,9.39,6.63,12.01,9.54,6.76,10.87,9.82,12.65,5.92,9.65,10.06,10.74,12.45
Shoshone County,ID,1.87,2.92,2.76,8.89,3.73,2.9,2.08,4.75,4.18,4.41,1.7,1.93,7.2,3.22,2.46,3.81,3.02,1.17,4.94,2.14,3.93
Sibley County,MN,6.52,12.24,6.41,13.52,12.61,8.53,10.21,9.17,8.77,16.38,7.07,4.41,5.73,6.13,10.32,19.2,10.93,13.36,15.1,8.74,10.15
Sierra County,CA,0.72,0.18,1.81,0.49,0.63,0.14,1.14,0.05,0.36,0.23,0.74,0.78,2.52,3.11,1.41,0.13,1.65,0.3,2.44,0.34,1.09
Sierra County,NM,6.23,5.35,3.35,4.91,4.1,11.96,5.33,12.58,5.85,7.12,5.01,4.2,11.65,9.77,5.19,6.47,6.63,6,4.22,5.13,6.17
Silver Bow County,MT,3.78,5.35,2.6,4.71,3.43,2.5,4.77,3.06,4.84,5.24,2.17,2.29,6.54,5.43,4.71,3.27,3.32,2.08,6.05,2.08,2.69
Simpson County,KY,11.33,15.54,15.58,12.27,14.44,14.82,5.69,8.59,15.09,8.32,10.87,15.38,16.56,9.11,11.99,18.85,17.1,13.42,10.2,15.47,14.75
Simpson County,MS,19.89,20.41,15.88,10.38,15.8,9.58,15.91,17.31,13.6,11.39,16.82,22.04,12.96,12.28,6.25,14.78,14.73,17.83,12.46,17.52,20.51
Sioux County,IA,10.23,9.73,10.33,13.69,10.23,11.42,11.31,7.82,10.12,19.61,4.54,3.62,5.2,7.61,13.02,12.43,9.96,17.72,11.48,3.62,12.16
Sioux County,ND,7.46,4.74,2.88,5.7,5.01,6.62,8.35,5.47,4.9,8.1,6.58,3.8,6.81,7.25,5.15,8.47,7.81,7,12.04,6.25,5.46
Sioux County,NE,5.34,5.47,4.43,7.78,5.51,3.94,3.59,5.53,5.82,3.31,3.93,1.75,5.51,7.94,4.37,5.24,4.17,5.19,6.7,2.59,3.51
Siskiyou County,CA,2.17,0.31,1.64,0.81,0.38,0.37,1.47,0.2,0.45,1,0.72,0.37,3.43,3.02,1.66,0.29,0.97,0.5,2.73,1.06,1.72
Skagit County,WA,5.99,4.43,2.78,15.05,7.4,4.28,6.19,8.17,6.51,9.88,5.64,3.48,14.47,9.1,9.07,7.11,1.95,5.9,9.42,7.64,9.87
Skamania County,WA,4.45,1.85,2.82,12.09,3.85,2.18,4.99,4.04,4.32,5.75,3.77,0.91,14.29,5.48,4.65,4.64,4.63,2.84,9.34,5.09,5.85
Slope County,ND,5.72,3.02,4.31,5.96,3.39,4.35,3.37,2.86,4.81,6.57,3.74,3.12,7.95,7.97,4.79,6.83,4.95,3.69,11.12,5.49,3.88
Smith County,KS,9.21,4.7,6.83,9.99,10.16,11.26,10.64,10.48,9.32,9.71,10.69,4.79,8.39,9.16,10.57,14.43,7.4,11.48,11.8,9.88,8.03
Smith County,MS,17.89,19.09,17.63,11.35,16.72,7.92,14.78,18.2,13.97,10.44,18.72,21.63,13.93,13.44,7.79,12.63,11.6,17.91,12.61,16.34,22.02
Smith County,TN,9.91,12.75,17.13,12.94,14.43,10.86,6.57,7.59,16.96,13.62,9.4,15.99,18.36,10.75,15.58,14.22,15.85,14.83,10.21,13.23,14.35
Smith County,TX,9.47,9.1,7.26,5.35,9.17,4.45,15.63,16.22,16.34,6.9,2.46,11.98,12.5,8.18,3.04,7.91,11.66,10.25,3.14,14.81,11.26
Smyth County,VA,14.94,12.16,17.42,14.8,8.74,13.68,8.6,12.43,15.01,12.45,13.06,16.07,15.47,13.85,15.62,10.59,10.47,17.69,7.91,15.56,12.1
Snohomish County,WA,6.49,4.16,2.83,13.79,7.09,4.37,6.36,7.54,6.67,10.72,5.17,3.33,14.39,9.95,8.46,7.17,2.44,6.2,9.65,8.23,8.32
Snyder County,PA,9.91,8.63,19.86,23.09,7.81,14.81,7.26,12.32,12.24,12.42,28.34,14.67,8.18,11.64,11,8.15,14.1,24.15,10.17,8.58,22.98
Socorro County,NM,7.05,7.58,2.83,4.68,5.69,11.11,5.93,7.38,4.87,5.41,4.77,4.43,10.8,8.18,5.09,4.5,5.66,7.2,4.32,4.65,6.55
Solano County,CA,0.23,0,0.26,0.16,0.03,0,0.23,0,0.13,0.03,0.01,0.02,0.58,0.53,0.08,0,0.03,0.01,0.09,0.05,0.03
Somerset County,MD,12.52,9.59,17.78,20.67,7.96,15.05,6.88,9.75,13.58,10.52,17.15,13.63,10.72,12.92,12.2,20.43,17.99,13.26,8.99,17.7,12.45
Somerset County,ME,9.32,8.85,11.39,14.15,13.53,12.66,11.33,15.36,12.04,11.74,16.38,11.78,13.39,12.89,12.72,10.4,10.74,11.88,11.95,8.47,11.5
Somerset County,NJ,10.36,10.16,16.25,21.74,7.56,13.5,11.8,14.52,16.43,9.74,29.03,12.42,12.86,10.25,8.69,11.54,13.67,19.76,11.46,17.13,23
Somerset County,PA,9.11,10.48,17.67,18.1,7.78,11.38,14.26,11.91,9.54,10.48,16.78,15.55,16.16,8.78,10.37,12.08,14.05,23.72,11.8,11.85,16.28
Somervell County,TX,7.41,6.75,6.97,7.42,6.6,4.56,13.1,7.08,12.72,12.28,2.58,9.27,10.87,4.4,4.57,6.73,9.56,14.72,5.04,10.35,7.77
Sonoma County,CA,0.22,0.01,0.16,0.1,0.01,0.01,0.19,0.07,0.2,0.13,0.03,0.01,0.72,0.99,0.76,0.01,0.14,0.13,0.22,0.22,0.36
Southampton County,VA,11.84,13.14,20.95,25.47,10.26,19.03,8.14,13.51,12.98,14.76,24.1,19.61,11.65,16.58,13.37,18.67,15.27,18.4,11.98,26.5,17.87
Spalding County,GA,6.59,8.96,15.03,18.31,19.04,11.23,11.76,11.36,15.07,11.43,10.02,11.24,14.06,10.04,14.75,8.04,13.78,13.51,5.32,17.26,14.78
Spartanburg County,SC,11.83,13.29,15.46,21.17,9.78,13.37,5.51,12.83,9.66,11.19,11.11,15.54,21.06,12.77,11.08,9.32,11.44,13.74,7.6,14.72,12.15
Spencer County,IN,11.78,9.76,11.21,9.13,12.89,22.05,8.19,6.31,14.85,7.02,11.21,12.17,9.53,9.03,10.19,14.02,12.39,12.67,8.55,13.81,14.61
Spencer County,KY,9.77,11.1,18.35,12.13,11.41,19.56,10.31,5.5,14.25,8.87,11.6,12.05,12.32,12.43,16.78,16.83,14.63,18.92,8.27,11.44,20.04
Spink County,SD,5.49,7.68,4.39,9.47,7.23,7.06,6.7,9.47,9.2,11.82,5.65,3.59,5.63,4.57,9.24,6.71,9.65,8.69,15.13,6.62,9.23
Spokane County,WA,0.84,1.43,1.44,3.29,2.33,0.67,1.53,1.91,2.3,1.88,0.97,1.64,3.79,1.37,1.03,1.66,1.24,0.52,3.24,0.81,2.1
Spotsylvania County,VA,9.74,9.09,17.43,18.85,10.1,13.79,8.86,11.32,8.17,11.38,18.87,10.19,10.61,7.89,10.49,13.34,12.03,17.57,9.5,19.99,15.19
St. Bernard Parish,LA,21.76,26.91,20.91,11.28,21.73,16.85,15.2,23.28,20.57,17.34,27.75,35.84,17.47,12.86,11.83,21.45,19.58,21.88,23.51,21.81,30.28
St. Charles County,MO,9.3,8.41,10.94,11.71,11.87,7.54,6.12,20.89,12.48,14.88,7.06,9.52,5.36,12.31,12.32,18.53,6.54,8.33,15.27,13.79,11.31
St. Charles Parish,LA,20.23,27.41,21.12,12.85,22.27,15.6,17.57,23.45,18.98,21.82,28.3,36.06,17.15,15.2,12.21,22.94,23.63,22.25,20.29,21.65,29.35
St. Clair County,AL,16.05,16.99,14.52,15.91,14.42,10.74,8.68,14.38,19.12,9.16,16.64,14.69,16.03,7.81,12.6,8.58,15.05,11.42,7.67,12.75,17.91
St. Clair County,IL,10.42,7.78,9.29,10.95,15.56,7.3,5.34,13.47,10.69,13.29,8.27,11.4,6.19,10.5,10.84,19.07,5.3,16.04,9.74,12.71,10.72
St. Clair County,MI,9.18,6.35,8.42,8.06,10.44,12.55,8.31,13.62,8.81,9.18,9.65,9.78,7.43,13.95,8.46,12.13,6.71,9.05,8.2,11.62,13.01
St. Clair County,MO,13.7,6.57,12.56,11.29,10.51,8.29,9.04,13.61,13.48,18.6,7.85,10.03,10.06,11.81,13.68,16.82,12.41,11.91,17.43,11.94,13.65
St. Croix County,WI,10.99,17.17,7,11.01,12.18,12.08,14.93,8.34,11.37,20.27,10.23,6.96,4.88,11.21,17.33,18.33,11.41,12.68,16.19,8.86,10.57
St. Francis County,AR,6.29,16.19,9.29,4.89,13.67,10.36,7.97,11.03,17.71,5.58,7.86,9.47,10.97,6.05,8.8,10.47,14.97,14.44,12.78,13.66,11.69
St. Francois County,MO,10.97,11,8.88,9.12,16.26,10.86,7.62,14.43,11.12,15.09,8.93,10.45,8.23,7.32,15.22,18.72,8.48,14.18,11.18,12.03,13.67
St. Helena Parish,LA,17.94,21.34,16.06,8.39,17.52,14.88,15.5,21.66,17.16,16.51,17.51,22.2,14.65,14.73,10.8,31.75,16.86,13.89,12.6,15.66,27.11
St. James Parish,LA,17.93,25.22,19.03,11.65,20.93,18.36,16.05,23.78,19.26,19.66,28.33,36.84,14.73,15.82,11.89,29.22,21.32,21.28,16.17,16.87,26.92
St. John the Baptist Parish,LA,19.03,25.46,19.77,12.76,22.16,14.64,18.13,22.81,19.62,19.19,28.02,34.64,14.74,15.82,12.29,23.83,22.41,20.01,17.49,20.44,30.86
St. Johns County,FL,28.43,22.02,17.63,29.21,20.53,11.65,23.81,27.04,20.42,11.94,17.89,18.49,20.62,23.3,23.76,10.99,26.36,16.59,14.23,21.83,23.41
St. Joseph County,IN,11.98,7.42,13.09,12.02,11.68,15.2,17.54,16.54,9.67,7.67,10.81,11.4,8.45,10.4,12.1,17.08,9.36,11.12,11.46,8.01,10.02
St. Joseph County,MI,12.41,7.91,12.86,9.44,11.45,13.68,15.83,15.61,7.18,9.66,12.63,9.35,6.61,9.08,10.4,16.55,6.42,9.67,11.89,7.74,13.38
St. Landry Parish,LA,19.29,13.55,13.37,6.84,16.33,12.46,16.93,17.87,13.79,13.58,17.55,18.47,13.29,17.33,8.24,27.84,15.82,18.84,17.76,20.31,23.14
St. Lawrence County,NY,11.08,7.57,10.85,13.82,17.4,10.5,10.22,11.07,12.64,14.16,13.52,10.52,12.76,11.29,11.15,8.72,12.19,8.69,9.34,10.76,12.71
St. Louis City,MO,8.74,7.37,10.19,10.69,14.27,7.34,6.22,16.68,11.41,12.74,7.8,10.24,5.12,10.91,12.32,19.59,4.61,11.94,12.85,12.75,12.51
St. Louis County,MN,9.59,11.83,10.83,10.5,6.77,7.23,10.17,8.62,8.22,14.11,7.99,7.62,8.05,8.19,11.7,12.81,13.62,10.43,12.21,11.15,7.05
St. Louis County,MO,8.82,7.57,10.92,11.34,13.38,7.25,6.29,18.26,11.97,13.36,7.53,9.36,4.94,11.28,12.2,18.64,5.68,10.2,14.65,13.56,12.4
St. Lucie County,FL,29.66,18.82,22.83,34.31,12.52,14.05,19.9,32.48,16.18,14.89,17.88,21.82,20.04,22.04,20.1,15.79,28.27,14.76,21,23.04,21.02
St. Martin Parish,LA,21.3,17.21,16.75,9.48,16.65,16.53,17.6,18.85,16.67,15.4,18.85,24.25,15.13,19.23,10.53,30.87,21.27,21.48,18.83,20.07,22.61
St. Mary Parish,LA,19.13,19.24,20.23,12.51,16.89,18.98,18.8,20.78,20.17,18.07,18.7,23.73,15.27,18.95,12.26,28.33,23.67,25.85,19.47,17.82,23.63
St. Mary's County,MD,12.87,7.25,19,20.68,9.63,14.59,5.56,9.21,12.12,15.27,23.67,11.53,11.43,7.93,10.79,14.12,14.03,20.35,9.2,23.97,15.83
St. Tammany Parish,LA,20.02,25.49,22.21,10.6,21.17,15.91,15.56,22.19,19.51,16.76,25.78,31.96,16.96,12.78,11.45,20.42,18.21,19.03,18.13,19.8,31.99
Stafford County,KS,8.06,8.51,6.82,12.16,8.8,11.17,9.17,9.78,8.27,10.11,4.02,6.15,14.93,7.4,6.16,10.83,6.37,11.5,7.55,12.08,10.72
Stafford County,VA,10.48,8.48,14.19,17.29,8.67,13.66,7.8,10.35,8.46,13.42,18.12,9.51,8.1,8.25,10.21,14.3,12.7,17.63,9.14,20.18,12.97
Stanislaus County,CA,0.15,0,0.14,0.16,0.22,0.01,0.17,0,0.18,0,0.01,0.03,0.16,0.22,0.03,0,0.03,0,0.09,0.01,0.02
Stanley County,SD,6.1,5.57,2.03,9.8,3.25,6.46,4.09,6.03,7.86,6.61,6.77,1.4,7.17,5.7,5.37,6.29,4.95,3.86,11.08,6.42,6.18
Stanly County,NC,8.34,14.06,19.91,19.91,9.78,11.48,4.7,16.08,9.76,12.98,14.31,9.9,13.76,13.46,9.99,12.35,11.7,21.68,9.05,15.2,14.21
Stanton County,KS,7.87,7.18,5.06,9.24,5.97,7.01,4.67,7.31,7.96,6.5,4.04,4.27,8.84,5.7,8.72,7.29,11.14,9.43,3.16,7.25,5.72
Stanton County,NE,11.41,7.66,9.38,8.15,6.04,11.85,13.95,7.56,8.49,10.34,6.49,1.81,6.66,10.01,12.3,10.66,10.57,10.22,9.37,6.05,9.14
Stark County,IL,9.31,9.93,9.75,9.48,6.93,10.62,11.25,15.36,12.06,11.9,9.63,9.55,4.11,13.02,8.57,15.86,7.11,12.95,15.52,12.54,11.86
Stark County,ND,5.8,5.26,4.93,4.72,3.57,4.46,3.89,3.85,5.04,6.25,5.64,2.56,7.01,9.65,4.13,7.18,6.08,4.52,11.98,5.28,3.62
Stark County,OH,9.41,8.6,23.47,14.73,15.01,13.28,12.54,8.82,10.33,8.82,14.81,12.79,11.81,11.43,7.99,10.73,6.72,12.93,10.57,8.78,13.03
Starke County,IN,11.52,7.31,15.4,13.83,12.45,14.6,16.6,16.34,7.44,9.85,12,9.09,9.15,15.81,12,19.23,11.18,10.05,11.04,7.27,10.15
Starr County,TX,7.87,12.14,14.45,7.13,6.5,10.64,13.99,22.05,8.61,12.59,2.99,5.14,11.19,12.64,5.34,5.15,3.07,11.05,6.88,12.06,8.08
Staunton City,VA,8.39,8.55,21.16,18.01,8.99,14.28,7.83,8.94,9.82,10.11,14.75,13.08,9.56,5.78,14.26,11.9,9.82,21.91,9.26,22.33,16.86
Ste. Genevieve County,MO,11.24,8.69,7.43,9.65,14.93,10.88,6.62,13.86,11.73,12.34,9.19,9.58,7.08,8.71,13.08,18.83,7.19,14.12,9.68,10.87,13.27
Stearns County,MN,6.52,18.25,7.54,11.93,11.98,10.74,10,8.49,9.26,17.28,13.17,4.38,5.58,8.94,10.91,16.72,12.88,11.47,15.06,13.64,10.37
Steele County,MN,9.77,12.59,6.57,17.8,14.79,14.56,18.6,7.37,7.89,19.21,9.08,5.57,8.64,9.04,15.2,28.15,11.55,16.05,17.92,13.25,10.02
Steele County,ND,9.52,12.21,7.68,10.32,5.85,7.12,6.18,9.37,5.5,11.13,12.78,3.89,5.44,6.14,6.01,11.99,7.29,8.16,14.52,8.67,5.68
Stephens County,GA,10.64,16.39,16.72,23.62,19.55,10.98,8.63,13.23,20.99,12.68,8.83,13.72,24.2,9.93,13.75,9.02,12.63,13.03,6.59,17.72,18.18
Stephens County,OK,6.68,8.8,6.64,9.12,12.98,7.37,8.02,10.39,8.97,9.28,2.57,5.78,8.68,7,7.04,9.17,15.8,16.01,7.23,10.74,7.5
Stephens County,TX,4.45,9.34,4.54,6.85,10.5,5.94,9.1,6.29,11.47,9.99,4.97,8.57,8.91,4.33,5.57,11.91,10.07,11.15,2.95,8.95,6.75
Stephenson County,IL,14.23,10.8,8.51,8.01,9.32,11.77,16.72,12.42,14.26,16.78,15.37,6.01,5.39,10.22,11.26,15.03,12.45,20.19,19.83,12.97,7.15
Sterling County,TX,4.74,4.74,5.57,7.86,12.04,6,9.95,7.75,7.58,8.97,2.14,9.6,5.79,3.66,2.76,7.81,8.73,9.8,3.81,6.87,6.68
Steuben County,IN,10.02,7.21,18.39,10.76,12.39,12.51,16.77,11.34,8.47,7.75,12.7,9.82,6.98,7.57,10.35,10.84,7.35,9.32,14.3,7.52,13.45
Steuben County,NY,8.21,7.11,16.77,17.91,10.29,15.72,10.52,11.65,10.32,9.65,12.31,10.18,11.39,9.62,10.88,8.31,9.53,19.46,10.57,8.24,18.57
Stevens County,KS,5.29,6.61,8.35,10.95,6.81,8.62,3.34,6.49,5.35,6.25,4.23,5,8.4,5.92,8.72,6.41,12.69,11.34,6.3,7.1,5.69
Stevens County,MN,9.49,10.05,6.7,11.88,10.32,7.69,8.64,7.83,7.9,15.99,9.72,4.52,6.34,8.56,9.42,13.95,13.1,10.88,15.7,9.05,11.41
Stevens County,WA,1.61,1.4,1.49,5.23,2.46,1.29,1.51,2.27,2.93,2.9,1.46,1.98,4.4,2.49,1.27,2.37,0.98,0.99,3.85,1.76,2.59
Stewart County,GA,9.76,11.82,15.75,24.31,17.91,13.38,10.1,17.37,15.11,9.66,11.87,11.63,19.26,10.86,13.33,8.18,13.89,14.83,10.92,18.42,19.33
Stewart County,TN,10.11,13.87,15.71,7.76,15.83,15.58,6.31,6.47,14.94,6.65,9.69,12.35,17.16,6.7,12.23,17.86,16.92,11.51,9.52,15.6,14.68
Stillwater County,MT,2.56,3.36,1.11,3.86,3.96,3.88,3.88,4.2,3.81,4.92,2.2,1.16,5.38,5.36,3.68,5.46,5.19,3.25,8.8,2.64,2.89
Stoddard County,MO,12.28,10.04,14.5,9.09,16.79,16.19,5.61,11.35,10.45,8.65,8.67,11.41,10.14,7.62,13.32,17.83,7.23,10.73,11.83,12.98,12.9
Stokes County,NC,10.71,12.04,19.61,17.16,14.02,15.27,8.92,13.46,8.56,15.69,12.2,13.96,14.34,10.86,16.97,12.04,9.11,19.91,7.48,15.75,15.18
Stone County,AR,9.23,9.84,13.75,9.54,9.92,13.73,9.22,21.51,16.86,14.19,8.13,10.73,12.43,7.15,12.53,16.72,11.66,15.55,11.76,14.07,9.68
Stone County,MO,9.74,7.99,12.88,8.64,9.17,8.82,11.03,17.35,14.31,16.21,8.59,9.21,15.39,7.72,17.75,13.72,8.59,11.75,9.32,7.05,8.01
Stone County,MS,19.84,23.53,22.63,11.41,24.43,17.19,13.96,16.69,19.72,14.59,25.1,28.73,18.07,9.65,13.16,17.74,20.39,24.52,15.44,17.98,32.76
Stonewall County,TX,4.31,7.37,2.43,8.42,11.15,6.44,9.71,7.04,9.06,12.99,1.17,7.52,8.21,9.89,3.8,8.58,10.51,10.11,4.56,6.95,4
Storey County,NV,0.38,0.43,1.71,0.41,0.73,0.28,0.68,0.24,0.17,0.38,0.13,0.18,1.04,2.37,1.34,0.1,1.3,0.58,1,0.47,0.37
Story County,IA,10.64,11.41,8.34,10.87,11.56,17.35,12.91,13.63,9.61,22.53,7.72,6.77,4.08,14.68,19.73,21.87,8.05,19.43,11.76,6.87,8.93
Strafford County,NH,8.63,5.94,11.81,15.14,8.98,11.45,10.79,24.7,14.69,9.38,14,10.71,13.18,11.92,10.06,7.36,8.82,16.46,8.98,5.73,21.65
Stutsman County,ND,8.35,7.76,3.37,8.74,6.15,6.52,6.24,8.16,6.32,10.56,9.46,4.5,4.68,6.23,4.85,12.63,7.32,8.94,13.46,7.83,5.36
Sublette County,WY,2.08,2.92,2.89,4.91,2.62,2.92,4.4,2.49,2.01,2.46,2.29,2.2,5.04,6.68,3.84,3.22,4.79,1.36,3.83,1.36,3.75
Suffolk City,VA,8.94,12.3,19.74,24.05,12.81,18.03,8.09,14.92,16.38,16.27,25.66,15.85,10.4,17.43,13.08,21.75,14.31,16.46,13.17,22.49,18.93
Suffolk County,MA,9.6,8.69,11.1,17.17,8.89,10.11,7.42,18.8,14.86,10.45,16.29,11.28,9.15,8.26,8.21,5.11,9.12,16.04,10.63,6.06,24.66
Suffolk County,NY,10.37,11.09,10.67,15.86,5.38,13.52,9.62,14.72,11.01,8.58,17.14,11.64,7.31,7.93,7.78,8.2,8.72,15.21,8.33,9.25,15.2
Sullivan County,IN,11.34,7.94,16.09,12.21,12.89,13.22,7,10.91,10.26,7.43,9.48,11.67,8.14,12.32,7.88,15.44,7.82,14.46,10.76,10.79,12.59
Sullivan County,MO,12.5,8.29,10.61,16.52,7.38,11.98,10.07,24.43,12.07,21.19,7.24,5.43,4.94,16.38,15.8,13.84,7.79,12.83,14.48,10.76,11.08
Sullivan County,NH,10.15,7.85,17.61,15.86,11.75,13.46,11.56,15.95,15.21,9.18,20.46,10.84,13.57,13.49,12.47,9.38,10.04,15.5,8.06,10.65,20.48
Sullivan County,NY,10.59,11.13,20.28,25.1,8.78,15.17,11.87,13.73,16.77,12.5,29.37,14.78,12.95,9.98,12.97,11.8,11.86,22.62,9.7,16.48,24.48
Sullivan County,PA,13.06,9.83,18.77,25.72,11.19,15.91,9.55,13.43,14.24,11.58,27.59,14.69,11.69,11.55,10.7,11.07,12.44,29.62,11.53,10.03,21.74
Sullivan County,TN,15.63,10.93,19.21,12.45,10.51,13.19,7.04,10.48,15.97,13.02,9.43,17.55,13.56,11.09,14.12,10.25,10.09,14.05,9.38,14.4,11.55
Sully County,SD,5.87,7.39,3.84,9.1,3.3,7.62,5.71,6.82,7.31,7.08,6.02,2.04,6.62,4.13,6.23,6.65,7.37,5.12,13.51,6.35,6.73
Summers County,WV,13.18,12.75,15.68,14.8,11.01,10.61,7.8,10.92,13.91,8.1,8.7,12.36,12.51,10.48,12.8,10.55,8.05,17.78,7.55,14.26,11.51
Summit County,CO,6.57,5.54,6.34,5.75,4.87,8.63,7.11,6.13,4.51,5.69,6.78,7.3,10.16,7.34,4.55,4.8,5.99,2.94,2.94,3.31,5.89
Summit County,OH,9.08,9.34,20.29,11.73,14.41,13.42,12.96,9.83,11.41,9,15.25,12.46,12.6,11.33,7.14,9.72,5.3,12.52,8.77,9.64,12.71
Summit County,UT,3.74,4.76,3.66,4.37,2.9,5.92,5.48,3.91,3.76,3.7,4.68,3.82,6.7,9.54,5.37,4.23,6.05,2.34,3.94,1.15,7.27
Sumner County,KS,7,9.52,11.37,9.42,11.98,8.61,6.28,13.82,14.72,11.78,7.22,5.19,17.18,9.77,11.91,19.72,7.94,11.67,13.37,10.65,6.46
Sumner County,TN,9.95,14.05,17.57,11.56,14.95,13.34,6.04,8.65,16.33,11.13,10.38,17.86,16.84,9.3,12.1,17.36,16.64,13.74,10.48,16.41,14.1
Sumter County,AL,17.09,16.32,16.29,13.8,19.36,7.46,13.9,13.8,20.43,12.49,17.09,18.11,12.73,7.33,9.22,7.49,10.88,12.64,8.55,11.76,19.51
Sumter County,FL,29.91,25.8,20.74,29.55,21.13,17.3,23.8,22.77,18.12,19.17,20.04,18.98,22.45,19.1,25.48,22.75,26.31,20.95,21.87,25.17,30.24
Sumter County,GA,11.97,13.33,15.89,24.47,16.06,12.7,11.59,16.11,14.9,9.86,11.67,11.65,18.85,12.11,16.51,8.79,14.79,12.6,11.15,18.03,20.69
Sumter County,SC,9.7,11.85,16.06,22.17,10.51,11.11,8.49,16.74,8.94,16.16,13.6,15.87,20.68,12.45,13.41,19.64,14.12,17.49,12.03,20.86,15.19
Sunflower County,MS,13.57,14.99,10.63,5.76,14.27,7.34,13.2,15.84,17.62,6.05,12.53,13.07,9.61,8.75,5.02,11.68,13.55,15.1,8.69,12.62,11.81
Surry County,NC,13.14,13.37,21.39,19.99,11.41,15,9.88,13.51,12.45,13.87,13.46,17.02,20.61,12.39,16.26,14.72,10.75,20.64,9.33,18.81,16.14
Surry County,VA,13.42,12.75,24.99,24.76,12.24,19,10.78,12.98,12.7,17.03,25.77,16.45,13.43,15.25,12.84,15.87,15.19,18.87,11.56,27.69,18.63
Susquehanna County,PA,12.69,10.13,16.5,23.21,10,15.26,12.53,12.07,13.32,11.53,25.24,15.68,13.05,9.42,9.74,12.63,12.56,24.86,9.55,12.25,18.63
Sussex County,DE,15.69,12.67,16.3,14.99,8.27,12.61,7.72,10.26,15.79,9.63,16.23,13.38,14.49,15,10.39,20.19,20.65,14.53,8.21,19.81,14.22
Sussex County,NJ,9.22,9.48,18.13,21.1,7.36,13.83,13.03,13.6,13.74,11.23,32.05,13.79,10.67,9.48,11.02,11.42,13.32,23.32,11.82,14.43,22.15
Sussex County,VA,13.16,14.38,21.65,24.84,10.11,19.23,8.18,12.25,11.93,14.79,23.27,18.58,13.31,14.97,14,15.59,15.24,17.83,11.81,25.81,17.92
Sutter County,CA,0.32,0,0.28,0.05,0.05,0.01,0.33,0.01,0.19,0.07,0.02,0.01,0.77,0.49,0.06,0,0.01,0,0.34,0.05,0.06
Sutton County,TX,4.01,8.89,7.34,8.64,7.73,5.33,9.81,5.44,7.01,6.6,2.33,5.67,8.49,7.81,2.79,8.47,8.2,11.77,2.29,6.37,8.08
Suwannee County,FL,22.01,15.85,17.89,33.71,15.41,13.29,18.43,19.22,16.56,17.16,15.81,19.96,23.83,21.96,19.26,24.95,21.49,20.07,14.5,20.26,26.63
