county,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,lat,lon,FIPS
"IA, Jackson",,0.0,0.0,1.0,0.0,1.0,1.0,,,,,0.0,0.0,,,0.0,,,,,42.164281,-90.574597,19097
"IA, Jasper",,1.0,4.0,0.0,,,,,,,,,1.0,,,,,1.0,,,41.685686,-93.052971,19099
"IA, Jefferson",,0.0,0.0,,0.0,,,,,,,0.0,,,0.0,0.0,,,,,41.00688,-91.967137,19101
"IA, Johnson",,0.0,1.0,1.0,,0.0,,,,,,0.0,,0.0,,2.0,,2.0,,,41.668737,-91.588812,19103
"IA, Jones",,1.0,1.0,0.0,,,,,,,,0.0,,,,,,,,,42.125118,-91.116914,19105
"IA, Keokuk",,0.0,2.0,,,0.0,,,,,,,,,,,,,,,41.331182,-92.167721,19107
"IA, Kossuth",,0.0,1.0,,1.0,1.0,,,,,,,1.0,,,,,1.0,,,43.212478,-94.213983,19109
"IA, Lee",,2.0,1.0,0.0,0.0,1.0,,,,,,,0.0,,1.0,,,,,,40.647588,-91.477157,19111
"IA, Linn",,2.0,1.0,0.0,0.0,0.0,,,,0.0,,1.0,1.0,0.0,,1.0,1.0,,,,42.077951,-91.597674,19113
"IA, Louisa",,0.0,1.0,0.0,,,,,,,,,,0.0,1.0,,,,,,41.218211,-91.256994,19115
"IA, Lucas",,0.0,0.0,,,,1.0,,1.0,,,0.0,,0.0,,,,,,,41.033344,-93.331467,19117
"IA, Lyon",,1.0,4.0,,1.0,0.0,,,,,,3.0,2.0,,1.0,3.0,2.0,8.0,,,43.38358,-96.207201,19119
"IA, Madison",,0.0,1.0,,2.0,,,,,,,1.0,,,,,,,,,41.330622,-94.015184,19121
"IA, Mahaska",,1.0,2.0,,,,,,,,,,,,2.0,,,0.0,,,41.330797,-92.636366,19123
"IA, Marion",,0.0,1.0,0.0,,2.0,,,,,,1.0,,,,,,1.0,,,41.331455,-93.093849,19125
"IA, Marshall",,4.0,0.0,0.0,,1.0,,,,,,0.0,,,,,0.0,0.0,,1.0,42.041691,-92.981452,19127
"IA, Mills",,0.0,1.0,,1.0,,,,,,2.0,,,,,,,3.0,,,41.033703,-95.619101,19129
"IA, Mitchell",,0.0,0.0,,,0.0,,,,,,,,,,,,1.0,0.0,,43.348564,-92.784466,19131
"IA, Monona",,0.0,7.0,,1.0,,1.0,2.0,,,,,4.0,1.0,,1.0,0.0,1.0,,,42.049432,-95.956566,19133
"IA, Monroe",,0.0,0.0,1.0,,,1.0,,,,,0.0,1.0,,,,,1.0,,,41.028847,-92.869642,19135
"IA, Montgomery",,2.0,2.0,0.0,1.0,,1.0,1.0,1.0,,,1.0,2.0,,,,,1.0,,,41.021735,-95.15779,19137
"IA, Muscatine",,0.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,41.483776,-91.118699,19139
"IA, O Brien",,0.0,2.0,1.0,0.0,1.0,,,,1.0,,,,,,2.0,0.0,1.0,,0.0,43.083746,-95.625624,19141
"IA, Osceola",,0.0,2.0,,,0.0,,,,,,,,,,,1.0,,,,43.378542,-95.633788,19143
"IA, Page",,0.0,3.0,0.0,0.0,,2.0,,,,,2.0,,,,,,1.0,,,40.73909,-95.14429,19145
"IA, Palo Alto",,0.0,0.0,0.0,,,,,,,,1.0,,,,,,1.0,,,43.075854,-94.667297,19147
"IA, Plymouth",,0.0,7.0,2.0,1.0,3.0,1.0,,,,,2.0,1.0,1.0,1.0,2.0,,2.0,,1.0,42.737585,-96.215864,19149
"IA, Pocahontas",,0.0,1.0,0.0,2.0,0.0,,,,,,,,,,,,,,,42.734033,-94.678279,19151
"IA, Polk",,3.0,12.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,12.0,0.0,1.0,41.684281,-93.56972,19153
"IA, Pottawattamie",,1.0,9.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,,2.0,1.0,12.0,,,41.340184,-95.544905,19155
"IA, Poweshiek",,1.0,0.0,,,,,,,,,,,0.0,,,1.0,1.0,,,41.684526,-92.522882,19157
"IA, Ringgold",,0.0,0.0,0.0,0.0,1.0,,,,,,,1.0,,1.0,,,,,,40.735334,-94.244251,19159
"IA, Sac",,0.0,0.0,,2.0,0.0,1.0,,0.0,,,,,1.0,,,,0.0,,,42.387526,-95.105224,19161
"IA, Scott",0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,1.0,,,1.0,,1.0,,,41.641679,-90.62229,19163
"IA, Shelby",,0.0,1.0,2.0,0.0,1.0,,,,,,0.0,1.0,,,1.0,,1.0,,,41.679014,-95.308917,19165
"IA, Sioux",,1.0,14.0,0.0,1.0,1.0,2.0,,,,,1.0,,2.0,,11.0,0.0,9.0,1.0,,43.082854,-96.177929,19167
"IA, Story",,1.0,1.0,1.0,0.0,0.0,1.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,4.0,,,42.037538,-93.466093,19169
"IA, Tama",,0.0,0.0,,,,,,,,,2.0,,,1.0,1.0,,,,,42.074848,-92.529412,19171
"IA, Taylor",,0.0,0.0,,,,,,,,,,,,,,,,,,40.737949,-94.697108,19173
"IA, Union",,0.0,0.0,,2.0,,,,,,,,0.0,,,,,0.0,0.0,,41.02855,-94.245091,19175
"IA, Van Buren",,0.0,0.0,,0.0,,,,,,,,1.0,,,0.0,,1.0,,,40.754117,-91.952943,19177
"IA, Wapello",,0.0,1.0,0.0,0.0,2.0,1.0,,,,,,,,,,,0.0,,,41.031263,-92.409482,19179
"IA, Warren",,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,,,,,1.0,,,3.0,,,41.336769,-93.564366,19181
"IA, Washington",,0.0,1.0,,,1.0,1.0,,,,0.0,0.0,,,,0.0,,1.0,,,41.329401,-91.725052,19183
"IA, Wayne",,0.0,0.0,,,,0.0,,,,,0.0,,,,,,1.0,,,40.739983,-93.332613,19185
"IA, Webster",,2.0,1.0,0.0,,,1.0,,,2.0,,,0.0,,0.0,0.0,,,,,42.434397,-94.179157,19187
"IA, Winnebago",,0.0,0.0,1.0,,0.0,,,,,,0.0,,,,,,,,,43.378124,-93.743488,19189
"IA, Winneshiek",,1.0,0.0,0.0,,0.0,0.0,,,,,0.0,,,,,,,,,43.292989,-91.850788,19191
"IA, Woodbury",,1.0,15.0,0.0,3.0,3.0,3.0,0.0,0.0,2.0,0.0,3.0,9.0,3.0,,2.0,1.0,8.0,2.0,0.0,42.39322,-96.053296,19193
"IA, Worth",,0.0,0.0,,,,,,,,,0.0,,,,,0.0,,,,43.373491,-93.248533,19195
"IA, Wright",,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,42.733007,-93.734735,19197
"ID, Ada",,,,1.0,2.0,252.0,20.0,10.0,4.0,,1.0,2.0,8.0,2.0,1.0,0.0,8.0,2.0,2.0,3.0,43.447861,-116.244456,16001
"ID, Adams",,,,,0.0,9.0,0.0,4.0,1.0,,,1.0,0.0,0.0,,,1.0,0.0,0.0,,44.884583,-116.431873,16003
"ID, Bannock",,,,,,23.0,5.0,1.0,,,,,,0.0,,0.0,0.0,1.0,,,42.692939,-112.228986,16005
"ID, Bear Lake",,,,,,0.0,0.0,,,,,,,,,,,,,,42.285833,-111.327445,16007
"ID, Benewah",,,,,,,0.0,,,,,,,,,,,,,,47.218451,-116.633541,16009
"ID, Bingham",,,,0.0,,145.0,5.0,2.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,43.216357,-112.399206,16011
"ID, Blaine",,,,,0.0,10.0,,,,,,,,1.0,,,,,,,43.394482,-113.95529,16013
"ID, Boise",,,,,,6.0,,1.0,,,,,,0.0,,,,,,,43.987275,-115.715111,16015
"ID, Bonner",,,,,,,,,,,,,,,,0.0,0.0,,,,48.312512,-116.59694,16017
"ID, Bonneville",,,,,,32.0,4.0,2.0,1.0,,,,,,,,,,,,43.395171,-111.621878,16019
"ID, Boundary",,,,,,,1.0,,,,,,,0.0,,0.0,0.0,,,,48.773065,-116.524619,16021
"ID, Butte",,,,,,4.0,1.0,,,,,,,,,,,,,,43.6851,-113.177627,16023
"ID, Camas",,,,,,2.0,,,,,,,,,,,,,,,43.463396,-114.804427,16025
"ID, Canyon",,0.0,,0.0,2.0,180.0,26.0,2.0,9.0,1.0,,0.0,14.0,1.0,4.0,3.0,2.0,2.0,1.0,0.0,43.623051,-116.708527,16027
"ID, Caribou",,,,,,0.0,0.0,,,,1.0,,,,0.0,,,,,,42.786273,-111.544172,16029
"ID, Cassia",,,,,,4.0,1.0,,,,,,,,,,,,,,42.288635,-113.605498,16031
"ID, Clark",,,,,,0.0,,,,,,,,,,,,0.0,,,44.286251,-112.36112,16033
"ID, Clearwater",,,,,,1.0,,,,,,,,,,,,,,,46.67257,-115.6535,16035
"ID, Custer",,,,,,4.0,4.0,,1.0,,,,,,,,,,,,44.273341,-114.252251,16037
"ID, Elmore",,,,1.0,2.0,68.0,7.0,4.0,6.0,,,3.0,0.0,,,2.0,1.0,0.0,1.0,0.0,43.394826,-115.470751,16039
"ID, Franklin",,,,,,1.0,3.0,,,0.0,,,,,,,0.0,,,,42.173589,-111.822955,16041
"ID, Fremont",,,,,,5.0,1.0,,,,,,0.0,,,,,,,,44.218091,-111.484429,16043
"ID, Gem",,,,0.0,2.0,15.0,13.0,2.0,2.0,,0.0,5.0,1.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0,44.061473,-116.398784,16045
"ID, Gooding",,,1.0,1.0,2.0,45.0,5.0,,1.0,,,1.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,42.973185,-114.82142,16047
"ID, Idaho",,,,,,3.0,,,,,,,,,,,,,,,45.849237,-115.467376,16049
"ID, Jefferson",,,,,0.0,14.0,1.0,,,,,,,,0.0,,,,,,43.796965,-112.318588,16051
"ID, Jerome",,,,0.0,0.0,12.0,1.0,1.0,0.0,,,,1.0,1.0,,,0.0,0.0,,,42.691172,-114.263009,16053
"ID, Kootenai",,,,,,1.0,1.0,,,,,,,,,,1.0,,,,47.677113,-116.694918,16055
"ID, Latah",,,,,,0.0,,,,,,,,,,,,,,,46.81892,-116.730974,16057
"ID, Lemhi",,,,,,2.0,6.0,,1.0,,,,,,,,,1.0,,,44.928789,-113.887841,16059
"ID, Lewis",,,,,,,,,,,,,1.0,,,1.0,,,,,46.236328,-116.42376,16061
"ID, Lincoln",,,,,0.0,9.0,0.0,,1.0,,,,,4.0,2.0,,,2.0,,,42.986181,-114.153899,16063
"ID, Madison",,,,,,7.0,2.0,,,,,,,,0.0,,,,,,43.789709,-111.65655,16065
"ID, Minidoka",,,,,,24.0,,,,,,,1.0,,,,,,,,42.856937,-113.64001,16067
"ID, Oneida",,,,,,0.0,1.0,,1.0,,,,,,,,,,,,42.18389,-112.520465,16071
"ID, Owyhee",,,,0.0,1.0,32.0,6.0,1.0,1.0,,,0.0,2.0,,1.0,1.0,1.0,1.0,3.0,1.0,42.593063,-116.142655,16073
"ID, Payette",,,,0.0,0.0,23.0,7.0,3.0,2.0,,0.0,3.0,5.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,44.00274,-116.748655,16075
"ID, Power",,,,,,2.0,0.0,,,,,,,,,,,0.0,,,42.694126,-112.844407,16077
"ID, Teton",,,,,,0.0,4.0,,,,,,,,,,,1.0,,,43.760994,-111.211765,16081
"ID, Twin Falls",,,,0.0,1.0,38.0,3.0,2.0,3.0,0.0,,2.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,,42.352309,-114.665639,16083
"ID, Valley",,,,,0.0,2.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,,,44.771532,-115.637875,16085
"ID, Washington",,,,0.0,1.0,21.0,4.0,4.0,4.0,,1.0,0.0,3.0,3.0,3.0,,3.0,3.0,4.0,,44.448213,-116.79783,16087
"IL, Adams",,1.0,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,,0.0,1.0,,1.0,,1.0,,0.0,,39.986053,-91.194961,17001
"IL, Alexander",,,,,,,,,,,,,0.0,,,,0.0,,,,37.183683,-89.349506,17003
"IL, Bond",,0.0,0.0,1.0,,1.0,,,0.0,,,2.0,1.0,,0.0,,,1.0,,,38.885924,-89.436592,17005
"IL, Boone",,0.0,0.0,1.0,,0.0,2.0,2.0,,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,42.318983,-88.824295,17007
"IL, Brown",,0.0,0.0,,,1.0,,,,,,,,,,0.0,,,,0.0,39.962069,-90.75031,17009
"IL, Bureau",,0.0,1.0,0.0,0.0,0.0,1.0,,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,,41.401304,-89.528377,17011
"IL, Calhoun",,0.0,,0.0,,,,,,,,,0.0,,0.0,,0.0,0.0,,,39.164262,-90.666295,17013
"IL, Carroll",,0.0,,,1.0,0.0,,,,0.0,,,0.0,,0.0,0.0,1.0,0.0,,,42.059084,-89.926485,17015
"IL, Cass",,0.0,0.0,0.0,,,,,,,,,,,1.0,,0.0,0.0,,,39.969202,-90.245705,17017
"IL, Champaign",,2.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,40.13915,-88.197201,17019
"IL, Christian",,0.0,,,1.0,1.0,,,,,,,,,,,,,,,39.545524,-89.279593,17021
"IL, Clark",,2.0,,,,0.0,,,,,,,,,,,,,,,39.332364,-87.791687,17023
"IL, Clay",,0.0,0.0,0.0,,1.0,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,38.747312,-88.483789,17025
"IL, Clinton",,7.0,,2.0,,0.0,1.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,2.0,,,38.606423,-89.423136,17027
"IL, Coles",,1.0,,,0.0,0.0,,,,,1.0,,,,0.0,0.0,,1.0,,,39.51368,-88.220782,17029
"IL, Cook",0.0,635.0,20.0,23.0,134.0,86.0,33.0,9.0,1.0,30.0,22.0,174.0,59.0,26.0,27.0,98.0,52.0,104.0,14.0,34.0,41.894294,-87.645455,17031
"IL, Crawford",0.0,3.0,1.0,,,2.0,,,,,,1.0,,1.0,,0.0,,,,,39.00373,-87.757172,17033
"IL, Cumberland",,3.0,,,,0.0,,,,,,,,0.0,,,,,,,39.273121,-88.240619,17035
"IL, De Kalb",,2.0,2.0,0.0,0.0,1.0,0.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,41.894613,-88.768991,17037
"IL, De Witt",,1.0,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,40.181499,-88.901853,17039
"IL, Douglas",,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,1.0,0.0,,,39.766078,-88.222866,17041
"IL, Du Page",0.0,51.0,3.0,5.0,47.0,43.0,10.0,1.0,0.0,17.0,2.0,56.0,7.0,5.0,9.0,10.0,6.0,18.0,6.0,4.0,41.852058,-88.086038,17043
"IL, Edgar",,2.0,0.0,,,,,,0.0,,,0.0,,,,,,1.0,,,39.679037,-87.74711,17045
"IL, Edwards",,0.0,,,,,,,,,,,0.0,,,,,1.0,,,38.417095,-88.047941,17047
"IL, Effingham",,7.0,,,0.0,2.0,,,,,,,0.0,,,,,,,,39.047694,-88.592786,17049
"IL, Fayette",,0.0,0.0,0.0,,,,,,,,,0.0,,2.0,,0.0,0.0,,,39.001125,-89.017923,17051
"IL, Ford",,1.0,0.0,1.0,,1.0,,,,,,,0.0,,,0.0,0.0,1.0,,,39.00373,-87.757172,17033
"IL, Franklin",,0.0,0.0,,0.0,2.0,0.0,,0.0,,1.0,,2.0,1.0,,1.0,1.0,1.0,1.0,,37.991848,-88.926246,17055
"IL, Fulton",,8.0,,1.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,40.465688,-90.206793,17057
"IL, Gallatin",,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,37.768677,-88.227964,17059
"IL, Greene",,0.0,0.0,0.0,,,,,,0.0,,0.0,1.0,,0.0,0.0,0.0,0.0,,0.0,39.355444,-90.387757,17061
"IL, Grundy",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,41.29241,-88.401055,17063
"IL, Hamilton",,0.0,0.0,,,0.0,,,,,,,0.0,,,,,,0.0,,38.085226,-88.539005,17065
"IL, Hancock",,1.0,0.0,1.0,,0.0,,,,,,,0.0,,,,0.0,0.0,,,40.405792,-91.167988,17067
"IL, Hardin",,0.0,,,,,1.0,,,,,,,,,,,,,,37.517852,-88.266148,17069
"IL, Henderson",,2.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,0.0,,40.815141,-90.93848,17071
"IL, Henry",,2.0,0.0,0.0,0.0,1.0,1.0,,,,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,,41.350021,-90.130838,17073
"IL, Iroquois",,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,1.0,,,0.0,,,40.748867,-87.833601,17075
"IL, Jackson",,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,37.786096,-89.381212,17077
"IL, Jasper",,2.0,0.0,,,0.0,,,,,,0.0,1.0,,,,,0.0,,,39.004874,-88.150763,17079
"IL, Jefferson",,1.0,0.0,1.0,,2.0,0.0,,,0.0,,,1.0,,0.0,,,,,,38.30078,-88.92421,17081
"IL, Jersey",,0.0,0.0,0.0,,,,,0.0,,,0.0,,0.0,0.0,1.0,,,,,39.080192,-90.361365,17083
"IL, Jo Daviess",,0.0,0.0,1.0,,1.0,,,,0.0,,1.0,0.0,,,1.0,0.0,,,,42.362391,-90.211471,17085
"IL, Johnson",,0.0,,,0.0,,,,,,,0.0,,0.0,0.0,,0.0,,,,37.460815,-88.882962,17087
"IL, Kane",0.0,9.0,0.0,2.0,18.0,4.0,13.0,3.0,0.0,5.0,1.0,13.0,0.0,2.0,4.0,7.0,2.0,7.0,0.0,0.0,41.939594,-88.42804,17089
"IL, Kankakee",,1.0,0.0,1.0,3.0,1.0,,,,0.0,,3.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,41.139494,-87.861125,17091
"IL, Kendall",,2.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,41.58814,-88.430626,17093
"IL, Knox",,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,1.0,40.930941,-90.213761,17095
"IL, La Salle",,11.0,1.0,5.0,1.0,1.0,2.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,41.343341,-88.885931,17099
"IL, Lake",0.0,8.0,1.0,0.0,11.0,11.0,5.0,0.0,0.0,1.0,0.0,7.0,6.0,2.0,5.0,2.0,6.0,8.0,0.0,0.0,42.326444,-87.436118,17097
"IL, Lawrence",,0.0,0.0,,,0.0,,,,,,0.0,,,,,,,,,38.718954,-87.730221,17101
"IL, Lee",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,,0.0,0.0,1.0,0.0,,0.0,41.747442,-89.299351,17103
"IL, Livingston",,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,1.0,,2.0,0.0,0.0,0.0,,,40.894376,-88.552852,17105
"IL, Logan",,1.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,40.12907,-89.365308,17107
"IL, Macon",,9.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,39.860237,-88.961529,17115
"IL, Macoupin",,6.0,1.0,0.0,0.0,2.0,0.0,,0.0,,,1.0,0.0,1.0,0.0,1.0,,1.0,0.0,0.0,39.2659,-89.926344,17117
"IL, Madison",,14.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,,0.0,0.0,0.0,3.0,1.0,2.0,2.0,0.0,,38.827082,-89.900195,17119
"IL, Marion",,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,,3.0,,1.0,,,,0.0,2.0,0.0,,38.648396,-88.920221,17121
"IL, Marshall",,0.0,,,1.0,,,1.0,,,,0.0,,,0.0,,,0.0,0.0,,41.031119,-89.342371,17123
"IL, Mason",,1.0,0.0,0.0,0.0,,,,,,,,1.0,,2.0,,,,,,40.236993,-89.913575,17125
"IL, Massac",,0.0,,,0.0,,,,0.0,,,,0.0,,0.0,1.0,1.0,,1.0,,37.216119,-88.705658,17127
"IL, Mcdonough",,0.0,1.0,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,40.455789,-90.677579,17109
"IL, Mchenry",0.0,2.0,0.0,0.0,3.0,6.0,5.0,0.0,,1.0,1.0,6.0,2.0,1.0,2.0,2.0,4.0,2.0,0.0,0.0,42.324298,-88.452245,17111
"IL, Mclean",,3.0,1.0,1.0,4.0,3.0,1.0,0.0,,0.0,,1.0,2.0,0.0,0.0,3.0,0.0,0.0,,0.0,40.494559,-88.844539,17113
"IL, Menard",,1.0,0.0,0.0,,0.0,,,,,,,0.0,,1.0,0.0,0.0,0.0,0.0,,40.022569,-89.794133,17129
"IL, Mercer",,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,1.0,,0.0,0.0,0.0,41.204791,-90.741433,17131
"IL, Monroe",,0.0,,,,1.0,0.0,,,,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,38.277983,-90.179078,17133
"IL, Montgomery",,4.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,39.228092,-89.478007,17135
"IL, Morgan",,0.0,0.0,,1.0,1.0,0.0,,,,,,1.0,,,,,0.0,,,39.716806,-90.202277,17137
"IL, Moultrie",,1.0,,,,3.0,,,,,,0.0,1.0,,,0.0,,0.0,,,39.636896,-88.625726,17139
"IL, Ogle",,0.0,,0.0,0.0,1.0,1.0,,0.0,,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,42.041884,-89.320176,17141
"IL, Peoria",,6.0,0.0,0.0,7.0,0.0,0.0,0.0,,1.0,,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,40.785999,-89.767358,17143
"IL, Perry",,0.0,0.0,,,0.0,,,0.0,,,,1.0,0.0,,,0.0,0.0,0.0,,38.084385,-89.368487,17145
"IL, Piatt",,0.0,3.0,,0.0,0.0,,,,,,,,,,,,0.0,,,40.009056,-88.592328,17147
"IL, Pike",,0.0,0.0,0.0,,,1.0,,,,,,0.0,,,,,0.0,,,39.625106,-90.889034,17149
"IL, Pope",,0.0,,,,,,,,,,,,,,,,0.0,,,37.417169,-88.542374,17151
"IL, Pulaski",,0.0,,,,,,,,,,,1.0,0.0,,,0.0,,,,37.215615,-89.127755,17153
"IL, Putnam",,0.0,,,,0.0,,,,,,,0.0,,0.0,,,0.0,,,41.19894,-89.298386,17155
"IL, Randolph",,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,,,,,,38.056515,-89.82121,17157
"IL, Richland",,0.0,1.0,,,1.0,0.0,,,,,,,,,1.0,,,,,38.71155,-88.085698,17159
"IL, Rock Island",,2.0,1.0,1.0,2.0,1.0,1.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,41.468404,-90.572203,17161
"IL, Saline",,1.0,0.0,0.0,0.0,0.0,3.0,,,,,0.0,,0.0,,0.0,0.0,0.0,,,37.751653,-88.545031,17165
"IL, Sangamon",,13.0,4.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,,3.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,,39.756378,-89.662311,17167
"IL, Schuyler",,0.0,0.0,0.0,1.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,40.156905,-90.613464,17169
"IL, Scott",,0.0,0.0,,,0.0,,,,,,,,,,,0.0,0.0,1.0,,39.63698,-90.477759,17171
"IL, Shelby",,3.0,0.0,,,,,,,,,,,,,,,,,,39.384926,-88.798862,17173
"IL, St Clair",,15.0,1.0,3.0,2.0,2.0,3.0,0.0,2.0,0.0,0.0,1.0,5.0,0.0,9.0,3.0,1.0,2.0,2.0,,38.470198,-89.928546,17163
"IL, Stark",,1.0,,,,,,,,,,,,,,,,0.0,,,41.096908,-89.797411,17175
"IL, Stephenson",,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,2.0,,0.0,42.349726,-89.665994,17177
"IL, Tazewell",,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,40.508074,-89.51626,17179
"IL, Union",,0.0,,,,0.0,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,37.475104,-89.252875,17181
"IL, Vermilion",,3.0,1.0,0.0,,1.0,0.0,,,,,,3.0,,0.0,0.0,0.0,,,,40.18674,-87.726772,17183
"IL, Wabash",,0.0,0.0,1.0,,,1.0,,,,,,1.0,,1.0,,,,,,38.445821,-87.839167,17185
"IL, Warren",,0.0,0.0,0.0,1.0,,1.0,,0.0,,,0.0,0.0,0.0,0.0,1.0,,,0.0,,40.850441,-90.620223,17187
"IL, Washington",,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,1.0,0.0,,,0.0,0.0,,0.0,38.353141,-89.417187,17189
"IL, Wayne",,0.0,0.0,0.0,,,,,0.0,,,,,,,,0.0,0.0,0.0,,38.431948,-88.432129,17191
"IL, White",,1.0,,,,,0.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,38.087372,-88.178585,17193
"IL, Whiteside",,1.0,3.0,0.0,0.0,0.0,1.0,1.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,41.750571,-89.910957,17195
"IL, Will",0.0,18.0,3.0,3.0,8.0,18.0,3.0,0.0,0.0,2.0,1.0,11.0,0.0,1.0,3.0,10.0,1.0,4.0,0.0,1.0,41.448474,-87.978456,17197
"IL, Williamson",,2.0,0.0,0.0,,0.0,1.0,,1.0,,,1.0,3.0,,0.0,1.0,0.0,1.0,0.0,,37.730353,-88.930018,17199
"IL, Winnebago",,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,42.337396,-89.161205,17201
"IL, Woodford",,0.0,0.0,0.0,0.0,2.0,2.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,40.789596,-89.210301,17203
"IN, Adams",,8.0,2.0,,,1.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,40.745733,-84.936131,18001
"IN, Allen",,69.0,7.0,1.0,2.0,11.0,1.0,0.0,0.0,2.0,1.0,12.0,1.0,0.0,4.0,2.0,1.0,5.0,0.0,0.0,41.091855,-85.07223,18003
"IN, Bartholomew",,0.0,0.0,0.0,0.0,,,0.0,,,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,,,39.205843,-85.897999,18005
"IN, Benton",,0.0,,1.0,0.0,0.0,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,40.608253,-87.315479,18007
"IN, Blackford",,1.0,1.0,,,1.0,,,,0.0,,2.0,0.0,,0.0,,0.0,0.0,,,40.472672,-85.32373,18009
