,county,year,infections
11765,"NE, Hall",2009,3
12464,"NE, Hall",2010,1
13028,"NE, Hall",2011,
13998,"NE, Hall",2012,7
15370,"NE, Hall",2013,6
16478,"NE, Hall",2014,12
17501,"NE, Hall",2015,
18597,"NE, Hall",2016,4
19784,"NE, Hall",2017,5
21107,"NE, Hall",2018,5
22133,"NE, Hall",2019,
22679,"NE, Hall",2020,
1568,"NE, Hamilton",2002,3
3922,"NE, Hamilton",2003,51
5937,"NE, Hamilton",2004,1
7366,"NE, Hamilton",2005,6
8739,"NE, Hamilton",2006,8
9995,"NE, Hamilton",2007,1
11766,"NE, Hamilton",2009,2
13999,"NE, Hamilton",2012,1
15371,"NE, Hamilton",2013,3
16479,"NE, Hamilton",2014,4
17502,"NE, Hamilton",2015,1
18598,"NE, Hamilton",2016,2
21108,"NE, Hamilton",2018,2
1569,"NE, Harlan",2002,2
3923,"NE, Harlan",2003,17
5938,"NE, Harlan",2004,
7367,"NE, Harlan",2005,1
8740,"NE, Harlan",2006,2
9996,"NE, Harlan",2007,1
12465,"NE, Harlan",2010,1
16480,"NE, Harlan",2014,2
17503,"NE, Harlan",2015,1
19785,"NE, Harlan",2017,
21109,"NE, Harlan",2018,1
1570,"NE, Hayes",2002,
3924,"NE, Hayes",2003,3
11767,"NE, Hayes",2009,1
1571,"NE, Hitchcock",2002,1
3925,"NE, Hitchcock",2003,9
7368,"NE, Hitchcock",2005,
8741,"NE, Hitchcock",2006,1
9997,"NE, Hitchcock",2007,1
15372,"NE, Hitchcock",2013,1
22134,"NE, Hitchcock",2019,1
1572,"NE, Holt",2002,2
3926,"NE, Holt",2003,32
5939,"NE, Holt",2004,1
7369,"NE, Holt",2005,1
8742,"NE, Holt",2006,5
9998,"NE, Holt",2007,
11002,"NE, Holt",2008,1
11768,"NE, Holt",2009,
12466,"NE, Holt",2010,
13029,"NE, Holt",2011,
14000,"NE, Holt",2012,9
15373,"NE, Holt",2013,5
16481,"NE, Holt",2014,1
